PC1,PC2
-31949.707,-3781.9248
-28795.72,-12488.796
50851.613,-12502.969
58108.992,42349.207
-10552.868,36399.152
-14197.912,13409.464
-31205.021,-43255.297
48034.58,14437.793
-23058.148,-21408.03
582.7933,-12323.297
-22820.248,-38112.66
-23987.62,-38543.66
-23442.078,-33906.734
-15072.819,36232.773
19727.99,39134.344
-14664.735,47623.934
6205.1724,-39259.24
-30499.328,-28230.514
-8607.817,-23845.074
4861.183,23729.707
39569.953,-37494.316
-21774.035,8090.293
44761.168,42580.273
50767.12,-4590.7896
-31689.654,-8546.774
54273.79,38840.027
5473.4585,39160.22
37518.426,16364.989
-4450.5073,-15863.789
-28083.248,-20929.016
-6244.692,-921.0704
40624.523,15334.36
39274.348,2398.931
44441.01,45717.918
-29221.309,-34546.523
-7015.2705,-28163.562
-12208.97,-69.35184
61998.02,30858.027
36623.996,-11961.548
5083.7705,17944.037
-32145.193,7164.135
-31887.54,8536.684
52114.785,-26219.89
-5963.6133,-36319.48
-6058.939,34559.652
-32108.236,-44385.81
25420.465,-24660.793
43042.79,39459.254
23838.041,36873.742
39564.29,-401.71002
-6776.6743,37794.457
48133.72,-42251.39
-12189.125,-9980.518
28988.14,-11942.511
31585.066,-7178.4395
-30486.238,-18924.244
1358.5367,8401.305
15729.331,-26634.059
-25567.201,-21332.424
4376.822,39689.207
-12132.805,11050.436
-20276.926,7810.5205
-17600.379,4330.4873
51979.062,38727.242
-6675.8594,-28091.377
35941.312,-24663.13
15582.59,28097.156
-30384.605,25611.508
4775.234,-4749.3965
-10470.052,4150.239
-4888.994,44525.457
-16513.059,-21803.566
-6093.421,-40455.934
-2073.3472,778.64276
-29251.479,-15042.19
-21339.004,9415.813
-8700.755,7676.6714
2065.376,-15047.302
-33060.188,38327.5
-28977.295,-26651.805
-30346.143,-29142.496
50626.457,-35743.793
-29981.83,-33385.71
3492.7927,-41456.523
-30857.854,-45326.75
3443.6436,-9468.335
-5285.9478,-40504.85
25524.021,10312.462
-28593.95,35568.355
-6295.6694,-41444.79
-29887.623,-43873.88
-34796.914,29945.436
-22140.191,22428.598
3338.602,28053.092
-19878.664,3890.3804
39483.746,-7103.844
51694.34,43418.953
-2884.8198,-13354.401
2991.8643,29106.12
-18812.916,9516.525
-29987.701,1194.8916
-19393.047,-39864.56
40073.32,25977.48
-21587.861,15941.567
-2821.4375,5317.186
40812.9,-25528.092
4439.547,10323.879
-30251.096,25904.264
-18819.566,10499.535
-31975.846,39234.99
13834.24,2313.1807
-14853.783,-14668.851
-28097.145,-4509.712
-12753.431,1890.2625
-4709.2456,-25754.252
-22250.625,13244.969
44616.535,15006.502
-28049.807,-9459.651
-22877.613,-39274.11
39838.367,2059.574
37464.3,47200.137
55956.445,7731.819
60863.625,-47269.703
43080.777,23525.104
-32012.229,32509.74
-32244.568,38956.47
-21986.547,4349.955
-26683.354,28527.588
-29915.047,-45097.082
51782.223,-22623.152
40996.703,-1412.2567
-29710.531,43682.188
-26441.646,-10508.719
55311.324,-40714.793
50343.6,-18277.535
-23012.098,40292.297
-19992.027,-18977.33
31612.148,10665.09
-30872.992,-26562.281
3248.129,9402.463
-32830.195,-14094.244
29902.184,21365.938
-17132.648,-1163.7632
-16565.95,15897.472
-30211.963,-28837.447
55352.63,39359.973
60970.676,29714.994
10641.637,-9365.157
40735.598,15456.407
-17098.918,-6373.5293
-31184.447,-34124.73
-26509.67,-27122.018
45837.46,41512.95
-7170.017,9616.653
-21930.066,-7964.224
4308.6006,28997.803
45736.082,3433.755
10083.039,-22460.281
-22085.494,-28179.805
-28606.17,11054.813
52885.24,-43526.215
-20265.754,-6400.1426
-29287.908,-27903.51
-26511.742,-27784.791
-21931.37,40435.51
-5997.9277,12285.601
-28697.32,10687.83
9855.449,14191.269
-28655.893,-46700.816
-7659.6777,-47326.64
-30756.81,19105.824
30370.955,14858.764
-7779.9766,-42570.45
-26598.889,22996.459
-32687.809,17928.627
-30392.902,-23384.22
54730.688,-33886.902
-23097.58,25547.676
43564.24,38857.03
4482.657,-15162.546
6227.5947,20496.525
35700.734,29157.105
43688.062,-25440.436
-23627.316,42567.312
-22851.627,-47966.99
-19380.215,-28343.824
-5059.6533,-6616.127
-15408.169,-19779.615
-26397.043,11073.67
60843.086,-46650.863
-4668.6196,42127.215
38077.246,-12233.062
-17076.963,30247.562
-6413.4766,-5853.628
-6075.5005,46347.523
-26063.982,22562.076
-21666.785,-10463.343
-30617.268,23995.314
-29274.994,6436.3794
-30595.248,34855.125
63718.188,21125.598
24017.654,33493.02
-4598.1377,22504.404
-2983.388,20764.871
30418.656,22902.326
-21714.688,29289.865
-22992.719,-24445.625
38037.3,-16232.541
-32894.387,35942.383
61844.258,-42063.598
-24901.828,-25979.38
339.47955,-19997.012
-11111.199,39289.438
59862.004,-29784.63
-3600.1887,17427.41
-5379.384,-18279.693
-9360.967,40115.613
44849.273,32554.543
-22252.639,-27647.85
-27781.414,13750.638
2465.2593,-17134.281
-23126.543,-28750.383
21938.92,-29686.89
-21817.758,-43104.586
-9119.581,12708.75
-22032.354,22160.033
-5584.6836,43937.793
-28249.166,-20702.621
-31723.64,27592.195
2099.0425,-4835.0107
-28213.75,-30458.58
-7124.515,-44581.76
-22846.7,43686.68
-22351.084,36680.047
-25503.82,35740.266
